"corps","year","kick"
"G",1875,0
"I",1875,0
"II",1875,0
"III",1875,0
"IV",1875,0
"V",1875,0
"VI",1875,0
"VII",1875,1
"VIII",1875,1
"IX",1875,0
"X",1875,0
"XI",1875,0
"XIV",1875,1
"XV",1875,0
"G",1876,2
"I",1876,0
"II",1876,0
"III",1876,0
"IV",1876,1
"V",1876,0
"VI",1876,0
"VII",1876,0
"VIII",1876,0
"IX",1876,0
"X",1876,0
"XI",1876,0
"XIV",1876,1
"XV",1876,1
"G",1877,2
"I",1877,0
"II",1877,0
"III",1877,0
"IV",1877,0
"V",1877,0
"VI",1877,1
"VII",1877,1
"VIII",1877,0
"IX",1877,0
"X",1877,1
"XI",1877,0
"XIV",1877,2
"XV",1877,0
"G",1878,1
"I",1878,2
"II",1878,2
"III",1878,1
"IV",1878,1
"V",1878,0
"VI",1878,0
"VII",1878,0
"VIII",1878,0
"IX",1878,0
"X",1878,1
"XI",1878,0
"XIV",1878,1
"XV",1878,0
"G",1879,0
"I",1879,0
"II",1879,0
"III",1879,1
"IV",1879,1
"V",1879,2
"VI",1879,2
"VII",1879,0
"VIII",1879,1
"IX",1879,0
"X",1879,0
"XI",1879,2
"XIV",1879,1
"XV",1879,0
"G",1880,0
"I",1880,3
"II",1880,2
"III",1880,1
"IV",1880,1
"V",1880,1
"VI",1880,0
"VII",1880,0
"VIII",1880,0
"IX",1880,2
"X",1880,0
"XI",1880,1
"XIV",1880,4
"XV",1880,3
"G",1881,1
"I",1881,0
"II",1881,0
"III",1881,2
"IV",1881,1
"V",1881,0
"VI",1881,0
"VII",1881,1
"VIII",1881,0
"IX",1881,1
"X",1881,0
"XI",1881,0
"XIV",1881,0
"XV",1881,0
"G",1882,1
"I",1882,2
"II",1882,0
"III",1882,0
"IV",1882,0
"V",1882,0
"VI",1882,1
"VII",1882,0
"VIII",1882,1
"IX",1882,1
"X",1882,2
"XI",1882,1
"XIV",1882,4
"XV",1882,1
"G",1883,0
"I",1883,0
"II",1883,1
"III",1883,2
"IV",1883,0
"V",1883,1
"VI",1883,2
"VII",1883,1
"VIII",1883,0
"IX",1883,1
"X",1883,0
"XI",1883,3
"XIV",1883,0
"XV",1883,0
"G",1884,3
"I",1884,0
"II",1884,1
"III",1884,0
"IV",1884,0
"V",1884,0
"VI",1884,0
"VII",1884,1
"VIII",1884,0
"IX",1884,0
"X",1884,2
"XI",1884,0
"XIV",1884,1
"XV",1884,1
"G",1885,0
"I",1885,0
"II",1885,0
"III",1885,0
"IV",1885,0
"V",1885,0
"VI",1885,1
"VII",1885,0
"VIII",1885,0
"IX",1885,2
"X",1885,0
"XI",1885,1
"XIV",1885,0
"XV",1885,1
"G",1886,2
"I",1886,1
"II",1886,0
"III",1886,0
"IV",1886,1
"V",1886,1
"VI",1886,1
"VII",1886,0
"VIII",1886,0
"IX",1886,1
"X",1886,0
"XI",1886,1
"XIV",1886,3
"XV",1886,0
"G",1887,1
"I",1887,1
"II",1887,2
"III",1887,1
"IV",1887,0
"V",1887,0
"VI",1887,3
"VII",1887,2
"VIII",1887,1
"IX",1887,1
"X",1887,0
"XI",1887,1
"XIV",1887,2
"XV",1887,0
"G",1888,0
"I",1888,1
"II",1888,1
"III",1888,0
"IV",1888,0
"V",1888,1
"VI",1888,1
"VII",1888,0
"VIII",1888,0
"IX",1888,0
"X",1888,0
"XI",1888,1
"XIV",1888,1
"XV",1888,0
"G",1889,0
"I",1889,0
"II",1889,1
"III",1889,1
"IV",1889,0
"V",1889,1
"VI",1889,1
"VII",1889,0
"VIII",1889,0
"IX",1889,1
"X",1889,2
"XI",1889,2
"XIV",1889,0
"XV",1889,2
"G",1890,1
"I",1890,2
"II",1890,0
"III",1890,2
"IV",1890,0
"V",1890,1
"VI",1890,1
"VII",1890,2
"VIII",1890,0
"IX",1890,2
"X",1890,1
"XI",1890,1
"XIV",1890,2
"XV",1890,2
"G",1891,0
"I",1891,0
"II",1891,0
"III",1891,1
"IV",1891,1
"V",1891,1
"VI",1891,0
"VII",1891,1
"VIII",1891,1
"IX",1891,0
"X",1891,3
"XI",1891,3
"XIV",1891,1
"XV",1891,0
"G",1892,1
"I",1892,3
"II",1892,2
"III",1892,0
"IV",1892,1
"V",1892,1
"VI",1892,3
"VII",1892,0
"VIII",1892,1
"IX",1892,1
"X",1892,0
"XI",1892,1
"XIV",1892,1
"XV",1892,0
"G",1893,0
"I",1893,1
"II",1893,0
"III",1893,0
"IV",1893,0
"V",1893,1
"VI",1893,0
"VII",1893,2
"VIII",1893,0
"IX",1893,0
"X",1893,1
"XI",1893,3
"XIV",1893,0
"XV",1893,0
"G",1894,1
"I",1894,0
"II",1894,0
"III",1894,0
"IV",1894,0
"V",1894,0
"VI",1894,0
"VII",1894,0
"VIII",1894,1
"IX",1894,0
"X",1894,1
"XI",1894,1
"XIV",1894,0
"XV",1894,0
